subno,block,alpha,beta
1,1,0.4049126352701266,8.184739919724429
1,2,0.41648839808427524,8.540360272578669
1,3,0.41665437020466406,8.440912007595651
1,4,0.43096590638390586,8.634609939441631
1,5,0.20106558613045553,4.643940694286152
1,6,0.30599605934956664,4.343808566081231
1,7,0.42059305206181286,8.076005898484672
1,8,0.42644767482162704,8.369954063837413
1,9,0.0634747835296543,5.708375350667729
1,10,0.43266816191143354,4.804411951700613
1,11,0.4370487357514098,8.73281886710457
1,12,0.39995583496225656,8.406158814604083
1,13,0.4126212144293612,8.069805870800089
1,14,0.35513881596671604,7.219152266270118
1,15,0.23653800011778606,4.088403109850071
1,16,0.36948699318296147,6.322388405960872
1,17,0.3309612660335795,6.432247521838069
1,18,0.4044334982127027,8.279841689837879
2,1,0.4305563266085772,7.9875386008814315
2,2,0.41780790225445696,8.746226085084098
2,3,0.41497775169705364,8.26398923106111
2,4,0.4331445526416619,8.268941158321383
2,5,0.40200879172015175,8.23893324528947
2,6,0.41320707470254614,8.385768636954687
2,7,0.3980586280549738,6.058514870988804
2,8,0.42941238208646576,8.48232605210882
2,9,0.40898727464033635,6.25375466340002
2,10,0.35287306059376544,5.517714600689027
2,11,0.41196657791466124,6.688504640192314
2,12,0.3999220464782198,6.047994859161933
2,13,0.42731505291005956,8.73417758698201
2,14,0.39724460972031644,8.246755542739288
2,15,0.3497882263352245,7.823512901041516
2,16,0.4123160630772705,8.149940682471978
2,17,0.4084467011471878,8.581246039237932
2,18,0.34827318437693194,7.5880837384541175
3,1,0.22383609516949599,6.559484792945916
3,2,0.36680511194366,5.282325490612606
3,3,0.4258308050626353,5.582460376114748
3,4,0.4048138517558203,8.375466837560047
3,5,0.4185695840208367,8.517256349928042
3,6,0.408218902043351,8.288855942648
3,7,0.3953639756422002,8.220502182562216
3,8,0.38542523237936865,6.5163163272458196
3,9,0.32929692233963387,5.640087290030157
3,10,0.4345184913559378,5.983834020782339
3,11,0.3387894744095805,6.972489158886589
3,12,0.42039269984702266,6.229005105622881
3,13,0.3751700520541334,6.696117931821616
3,14,0.42053711251319903,8.638213237550044
3,15,0.3791830301527168,7.511579332915158
3,16,0.40879725694245106,8.370430978123863
3,17,0.43221575237225274,7.991249357760802
3,18,0.37341662626024336,6.259057212455762
4,1,0.43541505778028866,8.328348259020038
4,2,0.42660918677260923,5.703709678225824
4,3,0.3498135112100724,5.364186111242014
4,4,0.3996160465202979,8.144395769035288
4,5,0.40423459289339336,5.874332225739872
4,6,0.2723344307018831,6.326269028431842
4,7,0.40077753233113644,8.091770597765604
4,8,0.4150025196979939,8.085191111412957
4,9,0.2938090468663257,5.10879264636265
4,10,0.4241511069371772,8.416812651938997
4,11,0.36817814514612757,5.9063772364199165
4,12,0.349277204670845,5.998291679643318
4,13,0.36038675347489196,7.191641776591782
4,14,0.32823579391831803,5.428417445607792
4,15,0.4007708680394767,5.5941674660387015
4,16,0.4252599685449349,8.549953088798144
4,17,0.3223564671743078,4.7729876669896605
4,18,0.41531009880426417,8.124617031973797
5,1,0.3741229794451537,7.52806090481365
5,2,0.3822396568112569,8.50555264386135
5,3,0.2993898640262445,5.657363336749903
5,4,0.3100273446966089,4.335817743701644
5,5,0.4113128660836894,4.5069802626602975
5,6,0.4036803950279929,8.219226568716252
5,7,0.41728594933290236,8.41824673917479
5,8,0.4106420319679861,8.566192305754736
5,9,0.26395178517105605,4.336599560088504
5,10,0.3640722199983406,3.2827619020936964
5,11,0.2917813685842897,5.947685434871417
5,12,0.3792608960489431,4.518172760804768
5,13,0.3991731931082468,8.309141390277786
5,14,0.2861232555722405,5.430744012650431
5,15,0.3779853875457795,4.328691336355427
5,16,0.32439741073666667,3.6697738197556076
5,17,0.40616530323851247,8.759764750046882
5,18,0.4546012342959867,3.834405431720576
6,1,0.4221647953711045,8.518013387293252
6,2,0.25708848392365086,4.388251075235251
6,3,0.4129870486107167,8.407172552632407
6,4,0.41358520924460446,8.367096929485283
6,5,0.41667383805274566,6.353974615421765
6,6,0.4079841411872467,8.260816746140875
6,7,0.4160668942994007,6.6563477601059775
6,8,0.4170016358644997,8.397572282907195
6,9,0.24056529298041207,6.286073012275096
6,10,0.4056890639905166,8.883477677601311
6,11,0.3748549703954812,8.261228235235832
6,12,0.40141844689215034,8.212684132981426
6,13,0.33010668237504726,5.492384760655806
6,14,0.4266708968056609,8.341423136700193
6,15,0.40021631221657955,8.216083991036664
6,16,0.36113370851220944,5.063078917448168
6,17,0.4094965498501837,8.402363054835856
6,18,0.3739406391657718,7.662899170587259
7,1,0.12956781174802048,5.710916208725884
7,2,0.4049959065860603,8.499554644922608
7,3,0.41965038022771917,8.287931074721241
7,4,0.4050907418804933,8.288625618282815
7,5,0.41491305435422654,8.260081090009184
7,6,0.3552760597695236,5.845241092324545
7,7,0.4246603752222128,8.43810142509584
7,8,0.3177496917921295,5.843245364244598
7,9,0.24679836274393782,4.143602957947217
7,10,0.39150480121816583,7.011793945247459
7,11,0.3847553319010254,7.803926816092033
7,12,0.4370953197971806,8.73339647650278
7,13,0.41754580490585824,8.708073520931874
7,14,0.4048900984941292,8.200636865784542
7,15,0.4302971882795575,7.929461673989197
7,16,0.4084507830519278,8.447752633704313
7,17,0.42569092338291975,8.655133999473351
7,18,0.40973100937043544,8.406299764513523
8,1,0.41793452145851806,8.200976456285982
8,2,0.41036416108855095,8.502969560861603
8,3,0.37567969868453976,3.0666732240005543
8,4,0.4145959974820663,8.177729105220507
8,5,0.4093077866153823,8.329173601755231
8,6,0.2520670294405168,4.020804247256959
8,7,0.41177593353649816,8.714669941182962
8,8,0.4123518799028465,8.388757650223175
8,9,0.30052459679338217,6.776926876446583
8,10,0.4437321017501547,8.699095733451257
8,11,0.2966448036789621,6.042754932248721
8,12,0.4094486478123187,8.24579301904084
8,13,0.41745510370094674,8.25666386974216
8,14,0.39951803495656935,5.865951429955329
8,15,0.41007783077045407,8.342603122600686
8,16,0.4307342942535933,8.405454879267463
8,17,0.14442404269809134,5.04848334339848
8,18,0.4336012666127262,8.097001948298288
9,1,0.41841833670873607,3.8919355091245817
