subno,alpha_t1,beta_t1,alpha_t2,beta_t2,alpha_t3,beta_t3,alpha_t4,beta_t4,alpha_t5,beta_t5,alpha_t6,beta_t6,alpha_t7,beta_t7,alpha_t8,beta_t8,alpha_t9,beta_t9,alpha_t10,beta_t10,alpha_t11,beta_t11,alpha_t12,beta_t12
1,0.35885444043526965,7.065747287766658,0.35855557097121504,7.077681627816345,0.3622084660288234,7.064854342820483,0.35687108057461153,7.084295026816775,0.3591917214669052,7.072107511703552,0.3587499737729235,7.068519898397734,0.3588320661297,7.046328053129106,0.36155312190904026,7.074368530035591,0.3587908678637564,7.017758571318394,0.35768487886822886,7.06262257194662,0.36006634227674994,7.109708687449161,0.36234430054426914,7.086164736858975
2,0.4028346294775378,7.671569194691658,0.400746831425534,7.67141930832547,0.4041409877534327,7.680045757012435,0.4042516933035364,7.63169717656064,0.40312812260888115,7.670217951947775,0.40330526125148025,7.67145179098831,0.4038981160291873,7.631164797088119,0.4008466247840518,7.667537871781744,0.4028296272240229,7.672035997630296,0.40331251357913056,7.587635563213978,0.4031669117418991,7.658821858896699,0.4050775480397674,7.6960626987963545
3,0.3859857594208252,7.090048709812481,0.3830838145387053,7.088592912781148,0.38605926399830853,7.077664973237057,0.38574579014633587,7.103023305880838,0.3856211653480299,7.090818440309256,0.38582705280750096,7.090524309338195,0.3849449753420543,7.035468641908432,0.38348558184506853,7.0918324110766,0.3882808208565406,7.106818552112516,0.38744340828692475,7.0831513376890864,0.38614964436813304,7.096741597830193,0.38387704115154325,7.07299470136288
4,0.376985017294077,6.729124988359187,0.3766414845620443,6.740129954431567,0.37723285591679295,6.684401427750312,0.37708548966871586,6.762434586360807,0.37730768508246354,6.722792303957678,0.37739000683021917,6.727227854201148,0.379054172882382,6.729522840381933,0.37474384353372286,6.744757278933993,0.3769635610796534,6.6903832499999,0.37945752364137403,6.7198094635939345,0.3785364912596883,6.7209567547046225,0.3778090361820919,6.664090001727584
5,0.3648748310673899,6.002496848042679,0.3632629563384261,6.03690704576754,0.3655800930193103,5.991029162722782,0.365553729874681,5.987852537600631,0.3642340634273276,6.008621161338763,0.3634682575481735,6.022731340018978,0.3643986297888325,5.932944952549286,0.36370151730395045,6.078817786778477,0.36166556762961505,6.013620425626094,0.36104304890813854,5.99895442992806,0.3649165928390449,5.957116803041316,0.36282634043783746,6.06238232522525
6,0.38221960542451516,7.455156052608107,0.38078605542298416,7.425228653357679,0.38359044355491984,7.4751739421498105,0.38138057397201586,7.3919159057907455,0.3826469227632212,7.4539411910322,0.38235280990098097,7.45669050588504,0.3810345370528009,7.458850285932892,0.38571520007276344,7.555339173576386,0.38210853767255004,7.4883896565819,0.38441861750220413,7.467205247959918,0.3812530058795334,7.368680518776839,0.38508582816398984,7.482627316776049
7,0.379762222464378,7.6208477991842285,0.3779181020971389,7.6401925938965425,0.3757982314739009,7.673157810236094,0.3779972969011564,7.642426706516784,0.37937020248475123,7.622987509584056,0.37911124443192257,7.639901407734898,0.381539662492829,7.70953092794018,0.37806246341854516,7.543833245069367,0.37944460115875955,7.636102035336068,0.3809826694890689,7.636338412025659,0.38040381473153595,7.63334363863776,0.37729478409588985,7.613887805423119
8,0.3774532146183658,7.284248500210501,0.37983768594916256,7.151060881716968,0.3776313306587224,7.269427506627778,0.379437923157327,7.258060935802573,0.3772354295131176,7.2879157189576,0.37735954851387654,7.284431345052013,0.3757581747387101,7.292089097129938,0.3777978629594196,7.263684954399489,0.3816585139437446,7.285662110180226,0.3765950586087184,7.221810621454329,0.375701113931112,7.3272176914357345,0.37777898245556657,7.2561064790584755
9,0.4076314546660492,6.865880705093816,0.4053697117108227,6.848531229853561,0.40509715011770575,6.809594301572125,0.4095365303268413,6.846751403274632,0.40768578929732985,6.863608653263433,0.40770135755942355,6.862619502602255,0.4077687223027793,6.862231837882168,0.41022738267265624,6.829455278923722,0.40983268913352483,6.775624944665622,0.40879032501300944,6.840568002964727,0.406342857764941,6.8117831208964486,0.407242646844688,6.91990686981398
10,0.3968785010669627,7.222044209719223,0.3976735698706126,7.226065386826268,0.39782781781947235,7.204745134616774,0.39916946629165345,7.21490697953062,0.39673506063833075,7.229725416584145,0.3969404887521855,7.237467816802663,0.39718639917562043,7.240981014319593,0.3983130636103717,7.253485176369087,0.399053020287537,7.180294779852239,0.3988813400624967,7.252443656811634,0.39774471572385084,7.284374300028366,0.3973909094019192,7.20515326392026
11,0.32020921125408575,3.879311688095266,0.32194903190089724,3.9884882847586236,0.3230354994842293,3.8097333738415147,0.31998026294044124,3.86362267559672,0.3204180632948201,3.8723581906328732,0.32014304351472145,3.879705242576382,0.3212077688048849,3.8433755018192066,0.31930755705351543,3.831028671313082,0.31981769173831814,3.8800803005464357,0.3214618959035729,3.9182218111381646,0.31956817495809897,3.79260298970079,0.3160695706481296,3.85758304491926
12,0.4008176934382841,7.3080068102514355,0.40168682230887903,7.307928044385164,0.4002866454135733,7.269725732866159,0.4038334237784628,7.3596492097555055,0.40064921822263383,7.317447509251023,0.40064655505668295,7.309758505553971,0.40326488359447415,7.394514444605435,0.402084898604429,7.317267251450384,0.398113912017621,7.296721292287043,0.4028303380353267,7.298946759767004,0.3998277630369424,7.307606409938518,0.4016506052570417,7.340240558392185
13,0.3620574824889784,6.355630521666429,0.36114579706027666,6.309363268360548,0.3603806072477503,6.369293883057005,0.3656578133169849,6.376546211390335,0.3620025535673703,6.3564979447214,0.3620434039837311,6.356027363588717,0.3598302529189104,6.36249645296949,0.36381376537338533,6.390375965956847,0.3634455194321304,6.355231371590451,0.35909199646824286,6.38281754776106,0.361976856768147,6.41975966293022,0.36178840824256725,6.400526342160396
14,0.3452493791549491,6.429973339696047,0.34781485037041954,6.429645179007868,0.349566483234415,6.43868183152963,0.34673011917661656,6.440873758393262,0.345306912452489,6.42915433849959,0.34497397757138926,6.4406092577007055,0.34103069809668496,6.4544365044595695,0.3484856683678517,6.4439517436854725,0.3417803545334614,6.434483508010496,0.34328655746798686,6.456695356006148,0.34574684391403904,6.387143326251653,0.34300769622168137,6.439062515930511
15,0.35686153171517504,7.261590283547387,0.3559673797096603,7.194586909618931,0.3593479404883472,7.244341665961352,0.3577039757942922,7.232441144850244,0.35716506329225073,7.255857236869192,0.3569580263203036,7.256531182727719,0.3583025926034809,7.182472230283939,0.358262337711675,7.213298360788422,0.3548929140047246,7.282302953028537,0.35605901796800016,7.323669777395314,0.3561959589495367,7.2748853663535735,0.35687955362695817,7.271352837948117
16,0.394722463857627,7.920451140470863,0.3945313928439783,7.962631897217638,0.3978427217660926,7.919553063562156,0.39351438962190727,7.997639272932263,0.39469778454173055,7.920235730519926,0.39476651526046136,7.920279271754832,0.39573823697612787,7.908334686637831,0.39129246505186055,7.942435760999451,0.3936449884704194,7.945942416916579,0.39326560809545724,7.939926764402718,0.39541145104152303,7.951945324649267,0.39349592816652795,7.891100446177303
17,0.3324042372498603,4.750320543402898,0.3314006792285283,4.704222422907372,0.3323865994167843,4.717536068711814,0.33140444055375845,4.802672629164592,0.33440106312036394,4.6996253086524975,0.33209754253436974,4.750853307763239,0.3373097456793364,4.780830987630767,0.3333151186466167,4.724942743299409,0.33157899651033534,4.815817037474426,0.3345396265422579,4.755959019623286,0.3312282134791027,4.799611862796951,0.3320541796364513,4.707577475985078
18,0.38641087694524356,7.609995005375189,0.3836580522007497,7.6154651752771345,0.3858228749805396,7.540977047796174,0.3879556111087333,7.616900774091184,0.3865450699624684,7.612527525422768,0.3862114820725288,7.608675457211163,0.38420324637583125,7.5908547998315985,0.3869138412366563,7.543866293307313,0.38691246822821385,7.5910694410089326,0.3850448756262434,7.610072899726592,0.387343170987152,7.655610269276769,0.387873042269581,7.568904907967222
