subno,block,alpha,beta
1,1,0.4049093125817025,8.184120736039555
1,2,0.4163893134035904,8.548866287650416
1,3,0.41667443746081334,8.44086367777056
1,4,0.4313270680042455,8.645487618007547
1,5,0.20106135171579215,4.64395181991598
1,6,0.3058542067786749,4.346732678137594
1,7,0.4207591186853255,8.0751038796884
1,8,0.4264465619888685,8.369822098844832
1,9,0.06302382251982823,5.753808752095089
1,10,0.4326837651818044,4.804289082070725
1,11,0.42869040675992554,8.543043223941801
1,12,0.4003854307958832,8.428322157584908
1,13,0.4126272663725544,8.073328441730643
1,14,0.3552437535086885,7.255843972520494
1,15,0.236540149978588,4.088384490406611
1,16,0.36947738727073165,6.322501475617094
1,17,0.3309626261874293,6.432230296381479
1,18,0.4044435487181775,8.276657482755477
2,1,0.43002223758544117,7.995340676342246
2,2,0.41922149668856457,8.730112041816685
2,3,0.4149883916648492,8.274920186692661
2,4,0.43312071739774366,8.267727732717058
2,5,0.40200841567720963,8.238880275282957
2,6,0.41280665989832566,8.393954063559617
2,7,0.39805693014455024,6.058579676825942
2,8,0.4288801213280796,8.490443942741454
2,9,0.4089704303962702,6.253960930132743
2,10,0.35287029903100003,5.51764041033683
2,11,0.41197185762178135,6.688223524882516
2,12,0.3998969761626087,6.0473746963837804
2,13,0.42755801568400076,8.722082199189062
2,14,0.39754107976865477,8.267896918504722
2,15,0.34978894832627033,7.82339813343117
2,16,0.4123272564867638,8.149816633434531
2,17,0.4117490332533593,8.544806321910173
2,18,0.3477158354111729,7.6209738736054184
3,1,0.22383477348686262,6.559610392745424
3,2,0.36719121177179986,5.288904148227217
3,3,0.42478350038476465,5.580573254844416
3,4,0.4049813385902954,8.388193453888196
3,5,0.41898571400976664,8.514356582219584
3,6,0.4082170843328591,8.28883983754063
3,7,0.3953617056254918,8.220471080004232
3,8,0.3864867461666301,6.527343400764575
3,9,0.32929671489549117,5.640107923439772
3,10,0.43449795811934927,5.985246789440648
3,11,0.33847869027380445,6.96783495168096
3,12,0.421482948687273,6.201258984212829
3,13,0.37598108330553887,6.681652271025345
3,14,0.42043798634453144,8.641886817748116
3,15,0.37917179875666335,7.511764081645566
3,16,0.409974421714951,8.383446136676675
3,17,0.4322213968342189,7.991263721298202
3,18,0.37350187723472617,6.256683740685121
4,1,0.4354112946522975,8.328221524109148
4,2,0.4266070468231147,5.703747523339054
4,3,0.3499502071172654,5.361817606796303
4,4,0.399611613947869,8.144373986868823
4,5,0.4042298193543638,5.874288559761211
4,6,0.27233736474225473,6.32622518170957
4,7,0.40029582220184756,8.081168393501844
4,8,0.4172255220505745,8.046712164161267
4,9,0.2933970544902453,5.162040663880528
4,10,0.4241239768286587,8.41701463560389
4,11,0.368180032678914,5.906397498637194
4,12,0.3476158844221807,6.016983299008065
4,13,0.3623445275678934,7.224241623037681
4,14,0.3282838841841164,5.427735072732955
4,15,0.4006663829616645,5.608308358293617
4,16,0.4252563454394583,8.551571511627946
4,17,0.3221767220218575,4.784670693404445
4,18,0.41530662145936925,8.124583079147126
5,1,0.37412589073319236,7.528038072172277
5,2,0.38185233220325626,8.482922601183006
5,3,0.29413743220892186,5.736855384325701
5,4,0.3100235428646569,4.335929122398662
5,5,0.4113089169350239,4.507004299204099
5,6,0.40367510041397164,8.219238275862528
5,7,0.4110379235197237,8.517121376655352
5,8,0.4106518982907383,8.565542935179565
5,9,0.2639578067367094,4.336510973658244
5,10,0.3640854024067733,3.282684739285262
5,11,0.28794574764129416,6.055783597704792
5,12,0.3797541773828707,4.507415410824402
5,13,0.3992074569534475,8.312129331859296
5,14,0.286136464534831,5.430564470477924
5,15,0.3779263052570277,4.329891714640372
5,16,0.32438265452257403,3.6698437141838283
5,17,0.4061223488742693,8.74984614156081
5,18,0.4560972343878416,3.8418419591654818
6,1,0.42223501215097853,8.53069764011606
6,2,0.25258639004508276,4.4159060410559485
6,3,0.4129917471059066,8.407269830294434
6,4,0.41357797543881336,8.366389679297821
6,5,0.416673897382339,6.353890188702139
6,6,0.4079860693113808,8.261067164195095
6,7,0.415249358385092,6.662609142641169
6,8,0.41701370114527064,8.397417298366925
6,9,0.24060349230685404,6.286056462866941
6,10,0.40566906000420605,8.883419258675708
6,11,0.37484867826501106,8.262103395325429
6,12,0.4014361777361027,8.214116735093185
6,13,0.33011347563789256,5.492192654080289
6,14,0.4266723559950364,8.341430518499477
6,15,0.40021320460450105,8.216051383759678
6,16,0.36104117726294677,5.064566283037831
6,17,0.40949668072160006,8.402406294256709
6,18,0.373942124718644,7.662839135665875
7,1,0.1295673272500005,5.7108775075559475
7,2,0.4050005798732706,8.499669955766498
7,3,0.4196323717600125,8.288661724176436
7,4,0.40502145152167407,8.296671968602208
7,5,0.41491119232179463,8.259755285375398
7,6,0.3552681809099555,5.845313484776136
7,7,0.4246514600809902,8.438175953880682
7,8,0.31752286848259414,5.841132108795703
7,9,0.2458438330919633,4.1639609441843985
7,10,0.39127685158436903,7.019123389876587
7,11,0.383759864528799,7.992434155631807
7,12,0.43715331079182546,8.724787395882398
7,13,0.4164817702886718,8.694596574570834
7,14,0.40491128459071546,8.200200161597346
7,15,0.43058717637000904,7.943694141969893
7,16,0.4083015131177979,8.492363199418536
7,17,0.42437830527373477,8.70039616543711
7,18,0.4097330579364294,8.406411221730243
8,1,0.41808381149396334,8.20140757625608
8,2,0.410351736472329,8.502645656136506
8,3,0.37568172277621875,3.0666793080643067
8,4,0.4146029930250713,8.177987954895547
8,5,0.4092882568364354,8.33004228537585
8,6,0.25478160350035195,3.974642526057023
8,7,0.411775173162542,8.714726564225227
8,8,0.41235503447481725,8.388628431959955
8,9,0.3005269809426431,6.776911461715711
8,10,0.4438090625643804,8.694565721584135
8,11,0.29660274092989497,6.043452807014344
8,12,0.4094499821396548,8.24586712846054
8,13,0.41714833901377363,8.241208654091286
8,14,0.399535634426298,5.866024242107833
8,15,0.40970422573285464,8.344424962117678
8,16,0.4307392421370178,8.40527871155934
8,17,0.1444297170777073,5.0481628514559755
8,18,0.43360561654382423,8.097107367858904
9,1,0.41841321457708297,3.8919894859382613
9,2,0.42137317999325974,8.346078173983603
9,3,0.4284894698756632,4.352857264651149
9,4,0.4235280433852935,8.304220750409591
9,5,0.4352436347086474,5.583971068054822
9,6,0.3772293742064284,6.809420809690766
9,7,0.4085936359738743,6.13821860878007
9,8,0.4225234370439188,8.366219975209514
9,9,0.43751096964468084,8.396653822601552
9,10,0.451143808014951,8.25726188684427
9,11,0.4303688112182698,8.419152405453618
9,12,0.36673494698628256,7.266210439840085
9,13,0.4217342077095121,8.314948787455036
9,14,0.346327869460286,7.177859378803287
9,15,0.41859001540723123,5.359924180243759
9,16,0.38814139687491767,6.164346644374149
9,17,0.40021658073082456,5.201296033455142
9,18,0.34246184025850035,7.176521331051922
10,1,0.39529094811725984,8.418490758814944
10,2,0.41526385730036863,8.306459991583335
10,3,0.3928790739686851,4.9642628021217075
10,4,0.4169755159898369,8.53121283513317
10,5,0.3923241453245495,8.484347647535506
10,6,0.40502985942170067,8.269902606192906
10,7,0.34127480509041846,7.082650345056017
10,8,0.3972983922364905,5.672747018493798
10,9,0.32364406182135574,4.9418300260773504
10,10,0.4271174960731571,8.427683134596032
10,11,0.4004028085821235,4.740855487453345
10,12,0.42958300692717794,5.593382411783362
10,13,0.42351720470345366,8.562680504394267
10,14,0.43343843287058564,8.71213532493773
10,15,0.4170645076002108,8.692399924905372
10,16,0.3137073917169214,4.062563396873568
10,17,0.40683091011505185,8.308727256566884
10,18,0.41328637967999304,8.502089229928647
11,1,0.3991140695599877,4.494105895629428
11,2,0.3466641089386928,0.997247013142076
11,3,0.43378822809075807,8.467760073393046
11,4,0.4013105899666098,3.3169425281625107
11,5,0.053355923500528986,6.652963242466777
11,6,0.262760873022281,2.585761845295964
11,7,0.2748898857280572,4.166062941986079
11,8,0.38069618427001084,4.030874566036272
11,9,0.36420895011649745,0.6629563428692572
11,10,0.19387251496404986,5.307574577442233
11,11,0.3590046248496236,1.002262220650852
11,12,0.33820683287663517,4.714058261455454
11,13,0.30850400482719004,2.022203874416945
11,14,0.4075672545374121,1.6870584682609824
11,15,0.42504536002171295,5.592669009817519
11,16,0.080799678883268,5.508772621500775
11,17,0.3429727643415295,6.178232936636787
11,18,0.3898129347701416,2.4471879472119227
12,1,0.4231810879135772,8.597939843666587
12,2,0.40472612388663404,8.401771931779493
12,3,0.3982469590166553,8.56921629716415
12,4,0.41898002601543954,8.518564922239833
12,5,0.4064455846397444,8.204693893146777
12,6,0.4251868722690677,5.447780022863509
12,7,0.33502642564026275,3.5458074952426637
12,8,0.42775541925267685,5.7890524113709905
12,9,0.42695332246907197,8.017509636514317
12,10,0.27816090362807916,4.764276031843408
12,11,0.3713315198293982,6.2042226588891065
12,12,0.4065002110490837,8.96231867091937
12,13,0.4107472487186471,8.49790077442239
12,14,0.4257505890463618,8.423293124233624
12,15,0.4288684795617382,6.246459944712548
12,16,0.44488108055041536,8.32478887909688
12,17,0.41646023635352514,8.748210954052201
12,18,0.36243590117991487,6.311845607813622
13,1,0.3653808428383415,4.507396430812825
13,2,0.3612563644978772,2.638663311007004
13,3,0.385778225434265,6.937921781505546
13,4,0.36063624346234197,6.125448284377382
13,5,0.4064014552568623,8.340822600017775
13,6,0.4069397493968839,8.550887139673474
13,7,0.4030152464240535,5.403439700362946
13,8,0.11859580586243475,5.978663873958333
13,9,0.36750096451329717,6.7531708142594615
13,10,0.39995911803832684,7.7338765868966854
13,11,0.32687344210856517,5.114587882829628
13,12,0.3554948558766863,5.863534197730401
13,13,0.37630394251272864,5.13437056801578
13,14,0.3262476802938177,6.772193144333232
13,15,0.3710116613901191,5.99899319464626
13,16,0.4228928806144383,8.30218230766573
13,17,0.4038475971065975,8.32632859292145
13,18,0.35864519607952355,5.926012133582985
14,1,0.3677942459109758,7.806849298209956
14,2,0.36471407704096576,7.603512162906131
14,3,0.40455157330287694,8.116550391393602
14,4,0.36080210246567074,7.2593730822696765
14,5,0.28287363787111114,3.2814439449292983
14,6,0.07246300400277605,5.2876083739466475
14,7,0.259286160041241,5.30964429927883
14,8,0.41270890507023444,8.330643774324212
14,9,0.30401108579998803,6.507651373105193
14,10,0.361806563602239,6.697180524027998
14,11,0.1710688993126456,4.374213072611947
14,12,0.425488771566599,5.8581857845856975
14,13,0.44834849817391714,5.901993962113503
14,14,0.41205776326013305,5.724364574404713
14,15,0.4269904768324194,8.099555218617565
14,16,0.4250714718116801,6.037987497913455
14,17,0.2991254100910974,5.15145620144894
14,18,0.4103689501284365,8.582753102525338
15,1,0.421605401619623,8.63129422723284
15,2,0.43624319964582037,8.12844574776214
15,3,0.33219276028258066,3.404100889405782
15,4,0.11225481365089739,4.818412464920196
15,5,0.40591636764553857,8.162658747400274
15,6,0.405003178769601,8.374393425554134
15,7,0.28777177837656126,5.209772377514424
15,8,0.40440774701907656,8.306948593972765
15,9,0.24781872197426943,6.130995609416831
15,10,0.4126117758455458,8.758781423900986
15,11,0.41760289934048495,8.678231056943554
15,12,0.4199714328064713,8.323464150246279
15,13,0.4130829963721226,8.414771490595898
15,14,0.37901114803960223,7.027670070075248
15,15,0.2989374579939139,5.669917336625808
15,16,0.41324283470746964,8.04280090139201
15,17,0.4173552234177273,8.960344451796109
15,18,0.20021473625816016,5.574558324343668
16,1,0.4195428191268777,8.481964859339504
16,2,0.2067831255256687,6.1686102599214205
16,3,0.4262161613029755,8.39630298271367
16,4,0.4066736809211591,7.749387021431203
16,5,0.43943028378171317,8.360596461304468
16,6,0.4017260249000333,8.488297654662139
16,7,0.43131441202407766,8.510152773547052
16,8,0.41741248579082224,8.637377978116309
16,9,0.4241159623207307,8.14116003424554
16,10,0.33366904656592816,6.996505077872128
16,11,0.41462964776437633,8.519985874386174
16,12,0.418977896720887,8.809122889105977
16,13,0.3816045773132461,6.256779134887742
16,14,0.37260549609274196,5.080288659345666
16,15,0.4062657996067684,8.462797463130377
16,16,0.4098759129714826,8.863807344712704
16,17,0.3955508639078469,8.359326036061857
16,18,0.3994030780509691,8.282564386803031
17,1,0.34256236341244717,5.312287520679787
17,2,0.3438161292475851,3.2174579817083115
17,3,0.36692102021749107,6.2958558595037
17,4,0.226725078062885,4.128487495434419
17,5,0.4141319913402945,3.047308420364359
17,6,0.3472254101795451,4.927931565622722
17,7,0.32353901285699743,6.927707376288581
17,8,0.39741769857378934,6.147100925743007
17,9,0.3430910173151417,4.298106295120144
17,10,0.31256396431706623,4.936308269885995
17,11,0.1310835572811045,4.364185676304008
17,12,0.41840769933240757,4.3540934312119965
17,13,0.21715905692669038,5.367620865028025
17,14,0.3304849595939704,5.1395011382912426
17,15,0.33026992209336764,3.9235884683142066
17,16,0.3652851977474554,3.9589574005422095
17,17,0.40382490687930056,4.73126756538285
17,18,0.36324678024111656,4.437593284312743
18,1,0.33871257397160903,5.779507578112664
18,2,0.42007736935944956,5.403288821862764
18,3,0.3940879588510251,8.496338565431486
18,4,0.3765242055008433,7.700108784091543
18,5,0.39817076200729534,8.305108184522219
18,6,0.41625999865388735,8.292445868601547
18,7,0.4258153952113563,8.202439732986258
18,8,0.4034613750778398,8.420712373648847
18,9,0.29714217737924264,6.669212380635592
18,10,0.3530314487542755,5.482822598211641
18,11,0.40593161131511585,8.346220172022425
18,12,0.3579524310411837,5.683430840854888
18,13,0.3474533316502619,6.814860684461108
18,14,0.40374559071883137,8.469388593922583
18,15,0.389283205619996,9.053052844485839
18,16,0.4012122450466667,8.612172519821346
18,17,0.4158035616064625,8.48227537765884
18,18,0.40714143554017745,8.742772308469348
19,1,0.3858608803728844,7.896625283012945
19,2,0.3481497520813237,4.904922650368935
19,3,0.4160178564529678,6.677441605627634
19,4,0.42861668468673664,8.516749745698444
19,5,0.40928093278232686,8.629911129073008
19,6,0.4174649212358508,7.914517544847518
19,7,0.39859677377980024,8.315358157552925
19,8,0.4179168643132746,8.666935036468953
19,9,0.4179147668317882,8.423137230329964
19,10,0.4593103776096645,8.672409558230347
19,11,0.30660603291182603,5.167491701828291
19,12,0.4021117152353446,5.688050317334307
19,13,0.4364695376605936,8.53716998536234
19,14,0.37821006700079385,7.58371847065378
19,15,0.4108212004788288,8.279467176352755
19,16,0.4126025951507287,8.48707101973355
19,17,0.44485505660444247,8.324807144121591
19,18,0.41021915467427694,8.335436293675942
22,1,0.4161581591375416,8.844263917631942
22,2,0.43877545361749504,8.365148454632237
22,3,0.35019892561580646,6.856586622495279
22,4,0.3990941637143867,8.194337230614375
22,5,0.3333370943134888,6.588117220075681
22,6,0.4135765308148902,8.211714767902825
22,7,0.3427981480055007,6.623568786219991
22,8,0.23253778625338775,5.808871160666803
22,9,0.403093984867456,8.432161696685483
22,10,0.2727039098576951,5.397434249356848
22,11,0.4206828946605101,6.524382958812461
22,12,0.4213219569163626,8.238263832587695
22,13,0.40555482428585987,8.963223954477122
22,14,0.34850692478407885,7.179936675133155
22,15,0.4104270789648972,8.447033288909665
22,16,0.41869262817237857,8.56234502898678
22,17,0.426711345144752,8.166811267528878
22,18,0.38352768737052484,5.388505345852089
23,1,0.41788242426699496,8.401088746421198
23,2,0.41014125148072883,8.406081177458823
23,3,0.395131898115398,8.276542093464037
23,4,0.4110639519424786,7.857392467457472
23,5,0.3514319224569354,7.059882179443689
23,6,0.3042932265746536,6.618315064240777
23,7,0.42608358979193356,5.993792963314663
23,8,0.37386732835045844,5.51373218772331
23,9,0.15941706335875716,5.169927501021895
23,10,0.4169265022428919,4.022023674300713
23,11,0.32808937053641596,4.006748123897136
23,12,0.4216451127766881,8.51632137385747
23,13,0.41943784821568164,8.303887719585141
23,14,0.413391982379744,7.931291118629055
23,15,0.4245839331165614,8.373196461380013
23,16,0.40172469307629405,8.773133548177945
23,17,0.3960764637876901,5.582863285785437
23,18,0.4369955420554659,8.46708221694994
24,1,0.4128043786407352,8.73343408248724
24,2,0.4159951021858793,8.671220718082932
24,3,0.30832093055693044,7.135034423920343
24,4,0.28923852327461996,4.026996467252295
24,5,0.41444076527159013,4.565264409751628
24,6,0.3693697860035628,4.100560796650765
24,7,0.4138080551656837,6.073849412974191
24,8,0.41729738206984335,8.518877470003938
24,9,0.37132477463682345,5.917485056755488
24,10,0.2978035758862332,6.31704816496859
24,11,0.37539963526660913,4.687062019935882
24,12,0.4348863934009567,5.254117603933562
24,13,0.36534639109382,7.073309207314161
24,14,0.4207006726652067,8.512364188397111
24,15,0.43113679535136273,8.606804793653442
24,16,0.41104149299140647,5.669900742323533
24,17,0.3536478500046376,7.268194149968835
24,18,0.4216627421438144,5.483852895771325
25,1,0.4067293499936859,5.335368941801142
25,2,0.425913817311114,8.463875018006412
25,3,0.3379909100323062,3.999514542880768
25,4,0.32738724747875464,6.833550927554054
25,5,0.2598199513140708,5.281119472189056
25,6,0.42116169287342503,8.26032276319747
25,7,0.3281597098422536,7.01918529963678
25,8,0.32843722641261763,3.5380163190871037
25,9,0.29343598569759344,5.5508465050525135
25,10,0.36631543190458926,7.237984983109449
25,11,0.43147758796505414,8.751464207763503
25,12,0.3987220299247919,8.460769458196141
25,13,0.4322491506223543,8.428724146417967
25,14,0.36295047143922365,4.797524515702456
25,15,0.4060759722688341,8.291730775846524
25,16,0.41025311330814856,8.899356675272317
25,17,0.40851119932415514,8.132230473549942
25,18,0.3899206469246659,8.157034417442798
26,1,0.43950680604712045,8.343686668018249
26,2,0.35876708064375834,6.629543620894176
26,3,0.4288767766542856,8.149814495822746
26,4,0.4090489302653192,8.036056862371154
26,5,0.33892601657123933,7.06723168701772
26,6,0.42309976007359346,2.9086714645626763
26,7,0.3679912450598914,4.971962918097777
26,8,0.4219957514881588,4.1545902539201816
26,9,0.3429482027340625,7.181085553907406
26,10,0.3502752139601945,1.9761887570338985
26,11,0.20564734222776035,5.3662855174141235
26,12,0.31585536651669,4.164765286219192
26,13,0.42648077926897576,8.279198126905678
26,14,0.4134351386957463,8.304167845037755
26,15,0.4057918421970603,5.5242116550380675
26,16,0.424489565423264,8.463341937402642
26,17,0.2829711481275836,5.258939314208249
26,18,0.29389020614959527,4.009058737552958
27,1,0.3144889529888167,5.50684708736568
27,2,0.3980023456063209,5.983581032019276
27,3,0.3719469443483202,3.4543450655696057
27,4,0.1984925130794472,5.673559877520255
27,5,0.4214113678128996,8.285449751035394
27,6,0.4087907842740354,5.142899489971106
27,7,0.3505951967664113,5.996728639116561
27,8,0.0660776844044359,5.8871511283563684
27,9,0.42338542637036336,6.206320927838216
27,10,0.3576663097579645,5.051906335734344
27,11,0.10087022150760935,5.725058529848673
27,12,0.4420098164066004,8.396451981983551
27,13,0.3810018675003,6.255682184176969
27,14,0.3298634914937372,6.09626501890997
27,15,0.3236297025200831,2.8929012400721525
27,16,0.4148935478643328,8.73738903154063
27,17,0.4065897739436633,3.27740091560637
27,18,0.4295256373468168,4.492055557464918
28,1,0.3978790180672996,8.276808502914244
28,2,0.12368180497353522,4.575363345759711
28,3,0.4133416962494578,8.706486880905462
28,4,0.40134763902717807,8.151413387087194
28,5,0.4029061637806082,8.507350263906073
28,6,0.34346843670892097,6.854809742677057
28,7,0.34294999659970443,6.319601820886864
28,8,0.39733605931926697,8.238951096890222
28,9,0.42324719234546554,8.637956897771259
28,10,0.43732800573311226,8.41714547580885
28,11,0.288217142571641,4.039575424634208
28,12,0.401831129072449,8.300181125388766
28,13,0.2197163461602677,6.237273785761115
28,14,0.4211399562956045,8.412003986569674
28,15,0.4225088948592001,8.22021419093449
28,16,0.32582288929870173,4.703954457894344
28,17,0.3619708616915027,5.503323043467739
28,18,0.40705854369534394,8.37337892654914
29,1,0.3808563231852702,5.720937250678037
29,2,0.3711525540873031,6.19249510628108
29,3,0.39745157686846033,8.245663673265089
29,4,0.3330366258342229,7.0861494243992205
29,5,0.4098209898036686,6.038100217671223
29,6,0.4242284800805359,8.48848872776513
29,7,0.3776675725045447,6.639725456288131
29,8,0.4217874353019394,5.618825687308043
29,9,0.43105340410814197,5.0937365282686855
29,10,0.4241014749899113,8.509646887683846
29,11,0.3285969226340639,5.432666108059962
29,12,0.3547703484304015,7.398579151881783
29,13,0.4005698676802059,8.495190272047044
29,14,0.41709159240079413,8.394178826121983
29,15,0.42619637965314994,8.56013792136284
29,16,0.41367908691318206,8.506328984571642
29,17,0.41509918182222466,8.66842071019192
29,18,0.38650857918292575,6.55704969141355
30,1,0.42273075452715375,8.169590464676432
30,2,0.3724865773364225,5.758148611722949
30,3,0.21947480743085163,5.951792742841695
30,4,0.42008220321580897,8.237051922988448
30,5,0.42199283249676817,8.495865573666315
30,6,0.4064862767785348,8.407985734774513
30,7,0.42462188291153163,5.674056063101339
30,8,0.40284691730858546,8.982211854999095
30,9,0.2157928934263429,4.706093251065348
30,10,0.40106067618882024,6.1138500591943865
30,11,0.36159024970908726,3.3324813312730277
