subno,block,alpha,beta
1,1,0.362731702029119,7.137898861825161
1,2,0.365523673733273,6.91143502273771
1,3,0.363743256059426,7.025689435078352
1,4,0.35942908828929,6.955240091327343
1,5,0.36697565153529,7.121136553401721
1,6,0.359380268349091,7.067278632782717
1,7,0.357675622206275,7.235301802590376
2,1,0.408053189379807,7.542671268114582
2,2,0.404945941915133,7.773484639273828
2,3,0.404415853477148,7.677846047147699
2,4,0.404806399526025,7.67115679693599
2,5,0.396173863088204,7.595093534941256
2,6,0.405522472343546,7.716993176821823
2,7,0.405069194544166,7.783074835851861
3,1,0.380507382908956,6.924582116493537
3,2,0.387891012443981,6.989928484583751
3,3,0.385709074704032,7.214002246226931
3,4,0.394446290574842,7.110889918515636
3,5,0.389190043126088,6.910054872168285
3,6,0.379936779819392,7.164714398917376
3,7,0.384734264410869,7.229482775753882
4,1,0.370195315812437,6.73928124283888
4,2,0.383530866756762,6.656438356065354
4,3,0.378099825094328,6.676680022135725
4,4,0.381431962783868,6.571639985664712
4,5,0.371350227962687,6.838403118604882
4,6,0.3753889175926,6.770851311525204
4,7,0.380632875414869,6.53751595741743
5,1,0.368204266765396,5.911689466257898
5,2,0.366698491322715,5.84032314049919
5,3,0.364379890483282,6.198577604760255
5,4,0.353813659944217,5.949371015880523
5,5,0.362351360545619,5.962956273858874
5,6,0.377288405001153,6.11058325358162
5,7,0.36632457707279,5.963703384221112
6,1,0.37790493677831,7.5162240342378
6,2,0.387086245156825,7.538547752346727
6,3,0.390328922391179,7.502577289290667
6,4,0.383994211525506,7.543642017685083
6,5,0.389498743695904,7.576860921513461
6,6,0.370683666764274,7.360863931007047
6,7,0.385636378572441,7.287501648967888
7,1,0.378003181038794,7.397733548527461
7,2,0.37843645815274,7.812229276297336
7,3,0.378106148534304,7.589499007544017
7,4,0.374836865252664,7.644307004009218
7,5,0.372747040866826,7.7818618113562
7,6,0.372937257209765,7.707233193929326
7,7,0.375520669262213,7.779240829989099
8,1,0.378436636754734,7.271901485407587
8,2,0.387121603561581,7.318474205209849
8,3,0.36725171025396,7.315187426245444
8,4,0.371376300627591,7.321967097307435
8,5,0.377479331591669,7.074293744124198
8,6,0.384848688055112,7.38193732962629
8,7,0.37690504376641,7.202231258473646
9,1,0.409108877216658,6.871494748903154
9,2,0.402106682974903,6.723529848064239
9,3,0.406046315232093,6.810160431299816
9,4,0.408977247348304,6.823263878376798
9,5,0.407526446501417,6.768504975904393
9,6,0.400967803051262,6.8409593627911
9,7,0.400946678499303,6.829246865665374
10,1,0.399069756885889,7.296378211834163
10,2,0.39346626027903,7.244380796693179
10,3,0.403521298549818,7.193346146053338
10,4,0.400852019056928,7.215095131916083
10,5,0.391688121170197,7.108343473887827
10,6,0.399836678956182,7.222408559607969
10,7,0.396360589838262,7.15326362232486
11,1,0.334559269299669,3.774700782878623
11,2,0.323038595121082,3.919333331516888
11,3,0.319894673677278,3.776875085495962
11,4,0.320473885614801,3.811661027524562
11,5,0.320499771168586,3.87631550756216
11,6,0.322223228912891,3.705230473053582
11,7,0.320559072595298,3.804017408858827
12,1,0.402218573963537,7.348594849583355
12,2,0.399743909128328,7.301115070466071
12,3,0.403326581782501,7.221943899242865
12,4,0.394849759420329,7.268137022751814
12,5,0.397910092617846,7.106180746720605
12,6,0.402493133291475,7.427952378059882
12,7,0.401464467690997,7.214156163238522
13,1,0.357800461826758,6.331915613734002
13,2,0.358522915127616,6.408202396341531
13,3,0.357594422178408,6.428342774095609
13,4,0.356530639331166,6.28861413146588
13,5,0.356682697401936,6.425155762673475
13,6,0.363625400526329,6.361481957965156
13,7,0.371907714342039,6.341344545123381
14,1,0.350684953468969,6.470548880730448
14,2,0.34984452951207,6.4755173963687
14,3,0.342775868461378,6.419686611064648
14,4,0.348037759720199,6.419183976566341
14,5,0.353049660722622,6.366412897067375
14,6,0.350089191177744,6.539411808016238
14,7,0.352483419577923,6.380011250893664
15,1,0.363192868556682,7.135547629070521
15,2,0.364735735412241,7.345939334432241
15,3,0.361316869606371,7.274499746825325
15,4,0.362230745365716,7.177395146439688
15,5,0.357346308893937,7.317743778244806
15,6,0.34980806333929,7.198910212618353
15,7,0.356804992244193,7.260355814098535
16,1,0.395045130687312,7.902395133201167
16,2,0.393835453687927,8.051639740426474
16,3,0.394679963353304,7.841010395134162
16,4,0.397379642217167,7.948475440292079
16,5,0.401730530896369,7.967014468352357
16,6,0.402863820863443,7.847824575597381
16,7,0.399364510657126,7.878511691931473
17,1,0.338848359683546,4.66232154566637
17,2,0.333599406446279,4.755727662381656
17,3,0.325207877221786,4.717732252645367
17,4,0.33349270847077,4.846919331031629
17,5,0.336073848722896,4.618259509792204
17,6,0.327439205305993,4.605673902903306
17,7,0.33204479006622,4.816118276562166
18,1,0.384674934408745,7.471614246346631
18,2,0.392439753669771,7.614626191757924
18,3,0.381833935101781,7.335839952772386
18,4,0.381956028679728,7.588213290218361
18,5,0.391992574953457,7.56421247557068
18,6,0.383866913162977,7.497141729690683
18,7,0.383995984887318,7.715191448216548
19,1,0.405014521254086,7.78830608724104
19,2,0.404761375607485,7.75254697244019
19,3,0.399772584882257,7.648300714307402
19,4,0.399174186663225,7.547788319852914
19,5,0.407549319064539,7.814192255993836
19,6,0.411139670225688,7.824978706430837
19,7,0.397967623700116,7.61826143637378
22,1,0.375228854281483,7.589237804199296
22,2,0.370523562894028,7.402428366460819
22,3,0.376637915690531,7.277844829752294
22,4,0.377169436497446,7.365080299254473
22,5,0.382181508974906,7.454300588746129
22,6,0.388148913634752,7.45016320164852
22,7,0.378646399037128,7.652909894828155
23,1,0.383732876313583,7.078316554732591
23,2,0.38494728783203,7.164950429922476
23,3,0.379399208705641,7.137101698821472
23,4,0.376431142131099,7.05367640928161
23,5,0.381729770043684,7.098497120097216
23,6,0.386956576934359,7.220922099693565
23,7,0.382261335175666,7.072210311356515
24,1,0.380238887684654,6.643955543907895
24,2,0.391496443523073,6.691510713193385
24,3,0.383308099647582,6.43858660234802
24,4,0.381816108098702,6.488003252404572
24,5,0.380147665590766,6.646372963583813
24,6,0.384532531062593,6.637993070304783
24,7,0.389164265156775,6.43849288771908
25,1,0.36975974404385,6.871929511469928
25,2,0.374804258769753,6.912746409899888
25,3,0.370564772190231,6.823072240984716
25,4,0.378470962857222,7.074453134004544
25,5,0.37037378571139,7.07530486350285
25,6,0.373465411420294,6.788544172698821
25,7,0.379111699857002,6.937139223883015
26,1,0.368873608933815,6.13672844705764
26,2,0.363975604972494,6.187945791653331
26,3,0.365192494632884,5.908970523240959
26,4,0.373888656462975,6.050354709601348
26,5,0.374595314844765,6.039384389381707
26,6,0.37477408166212,5.897996656177711
26,7,0.366321941835522,5.898726297011286
27,1,0.34213843222421,5.593157398230209
27,2,0.346586752704473,5.768980768358796
27,3,0.345605819742417,5.716297272308066
27,4,0.344774194731851,5.52665918864994
27,5,0.343886318986001,5.89517962781377
27,6,0.340283408073584,5.744316510330846
27,7,0.339370698615111,5.826576673368359
28,1,0.359408397960734,7.214229794054673
28,2,0.360110141841009,7.283490257598746
28,3,0.358004843092045,7.15651605434718
28,4,0.370877812463403,7.310592760480359
28,5,0.370496534593147,7.267015271854797
28,6,0.360574722967467,7.222250770489135
28,7,0.368015804347628,7.215708243387619
29,1,0.393432243096892,7.201033972742247
29,2,0.402506141127602,7.104222671936716
29,3,0.393985833248039,7.140152040483933
29,4,0.391476328029123,7.11846343690343
29,5,0.394801585533329,7.202793206215095
29,6,0.391269124389614,7.30176442821578
29,7,0.395546437336352,7.307011091035897
30,1,0.383221903874027,6.721761539968889
30,2,0.378841240624834,6.79612690329038
30,3,0.378157692174658,6.944635772940967
30,4,0.372451211234858,6.81167140271933
30,5,0.36959644398226,6.764731525277695
30,6,0.371994770942804,6.813367839396462
30,7,0.374308831474517,6.986677966499526
31,1,0.342018067329787,6.122876280491808
31,2,0.345181873238561,6.218145928566707
31,3,0.332992879871596,6.101189792581815
31,4,0.337009813929456,6.189515994188104
31,5,0.336045122844733,6.102018858392179
31,6,0.336076885621465,5.966067999056551
31,7,0.33448944483109,6.024503841605786
32,1,0.354371431640286,6.13199035941878
32,2,0.36292468998677,6.082825581356862
32,3,0.367176805045929,6.363300593427585
32,4,0.366404263215134,6.11095654789388
32,5,0.361359078443388,6.21829107977287
32,6,0.353681240687251,6.018417228619912
32,7,0.370706380083612,6.261609535562646
33,1,0.359953872211757,6.785175379237958
33,2,0.374982367951455,6.481794586276936
33,3,0.365734302152947,6.677705045228579
33,4,0.364323710153507,6.574069664759012
33,5,0.377397663632744,6.67133443757275
33,6,0.36691191097873,6.829363474102932
33,7,0.373559694321264,6.665453881369912
34,1,0.345621362334079,6.272177420935226
34,2,0.35100153195324,6.341738110749556
34,3,0.350100713383293,6.193542862448707
34,4,0.350294694459319,6.239067006990876
34,5,0.358821590102857,6.276279983434111
34,6,0.353226508999427,6.143614498716594
34,7,0.353638674628192,6.326796423520038
36,1,0.348646231100091,5.772283925139586
36,2,0.340734376775772,5.692396006584918
36,3,0.328955337781606,5.604347263708137
36,4,0.342507096929094,5.612466363743478
36,5,0.348349623794978,5.74255590834492
36,6,0.336502341016183,5.682555328165775
36,7,0.344293969686608,5.503079810708895
37,1,0.382612291286567,7.315000149268273
37,2,0.38191556914407,7.377321147054638
37,3,0.381430590188798,7.214459438636258
37,4,0.39122316229442,7.432180948187062
37,5,0.367507846801236,7.144809594063734
37,6,0.379086667983736,7.472100876310864
37,7,0.373224657964107,7.288667669461097
38,1,0.391617384867324,6.94384774132453
38,2,0.385086841395583,7.056269907895153
38,3,0.389173324042712,7.220200821029167
38,4,0.381052698368567,7.028574620157712
38,5,0.390034406161865,7.227345176169246
38,6,0.384794646606857,7.017545481812871
38,7,0.392042689326198,7.057688883778012
39,1,0.351499232604902,5.346646317246996
39,2,0.356077350091688,5.650270762516052
39,3,0.358875367954339,5.657785889106974
39,4,0.347431496002838,5.392730535786196
39,5,0.352604269983547,5.561200165021292
39,6,0.357761143845564,5.376338201106589
39,7,0.360459084208684,5.585939726784339
40,1,0.37972450798281,7.6109174267488
40,2,0.384409506263451,7.445024323903834
40,3,0.374453764900179,7.333507239833495
40,4,0.384812797501845,7.343369280580448
40,5,0.390285958659033,7.232810047441419
40,6,0.378092156292758,7.616269025039381
40,7,0.383597933446003,7.366712441219669
41,1,0.35190076636113,6.389396058249761
41,2,0.355118908799859,6.39782221737825
41,3,0.348842239138324,6.468125375296893
41,4,0.345215546018382,6.25558922122895
41,5,0.3529722299788,6.44418880074807
41,6,0.3493389833248,6.466445812961131
41,7,0.347717927749934,6.448537019406761
42,1,0.381616760623173,6.87455422746577
42,2,0.377506820117601,6.862247109644026
42,3,0.38376013698283,6.92495058828838
42,4,0.36836892241258,6.945087089652567
42,5,0.373606528468694,7.037440701051604
42,6,0.378773194278033,6.927654879067873
42,7,0.377140467985778,6.853669699834356
43,1,0.384174478975656,6.713693899322552
43,2,0.382128131984844,6.877590160033829
43,3,0.380190979033785,6.781302178744625
43,4,0.386665793116833,6.918914014097696
43,5,0.382465488675136,6.657331246408335
43,6,0.389458839564563,6.8844448482579
43,7,0.371787158398365,6.840063136699411
44,1,0.415653027726945,8.026362008304412
44,2,0.412976992725289,7.863764037210581
44,3,0.408090852378467,7.847491395750948
44,4,0.412957359380189,7.99909305100868
44,5,0.40569342187571,7.879125459629315
44,6,0.415431856195187,7.935397642161342
44,7,0.416014149318643,7.697304255015577
45,1,0.370796323231119,6.826850764254761
45,2,0.386128812927394,7.144948623179364
45,3,0.372690838492104,7.280274419394709
45,4,0.369878078064976,7.214752731818101
45,5,0.377911406716421,7.062710658507601
45,6,0.387549179618167,7.167019135996173
45,7,0.38803908738916,7.115663871063314
46,1,0.371548826741743,6.588671997026771
46,2,0.376047976066434,6.414033087483096
46,3,0.373454470050143,6.454579435497426
46,4,0.3696354124135,6.62030266456711
46,5,0.369863887632527,6.615577430811793
46,6,0.385389949880264,6.692925186421018
46,7,0.373214130109926,6.482898656228976
47,1,0.328482089435267,6.188605647421991
47,2,0.332524922334858,6.055984015224375
47,3,0.337800535739661,6.200490303641311
47,4,0.318480226208806,6.287650197544205
47,5,0.332574232441713,6.017815762694994
47,6,0.326858159449885,6.17627783880777
47,7,0.339035398588509,6.309291160685053
48,1,0.417374430964387,7.788534153778553
48,2,0.422275453568776,7.862604011973762
48,3,0.419898311830935,7.932109984760272
48,4,0.420515777035048,7.759325068965529
48,5,0.413526306197571,7.76682769376792
48,6,0.413212563966554,7.808224092657591
48,7,0.410593752980837,7.956818883096808
49,1,0.376376810661939,6.690077693297599
49,2,0.383497410936491,6.838763329810857
49,3,0.375753941768977,6.813533357822109
49,4,0.388550033056132,6.873347078916767
49,5,0.37452381902954,6.719397521663657
49,6,0.37701205094167,6.866113768293574
49,7,0.374024332793422,6.58840978695355
50,1,0.400168117948891,6.992825783368306
50,2,0.39347554495556,6.91332906615648
50,3,0.386764960377899,6.959794184254283
50,4,0.398641466783837,6.801486417250127
50,5,0.392253338054621,7.07641282631903
50,6,0.390554203094217,6.974499704064445
50,7,0.393757176932562,7.209815118572628
51,1,0.359016193876318,6.059506852260766
51,2,0.368047492996658,6.083809750253841
51,3,0.365218514130093,6.023351744149952
51,4,0.36791798455166,6.22128062695679
51,5,0.360827788750099,6.125841871264528
51,6,0.364743122283263,6.257848711771001
51,7,0.361810158531209,6.355252437596188
52,1,0.385287225403392,7.582833358146705
52,2,0.387641316303386,7.290696635420447
52,3,0.392850712514851,7.456325298999019
52,4,0.390241949296832,7.20491617993039
52,5,0.378749951137604,7.393994814829824
52,6,0.369979116995216,7.343031859417523
52,7,0.395725932856203,7.353928151440384
53,1,0.404342448328872,7.795513623708949
53,2,0.409388608633345,7.656369153085374
53,3,0.400559658741224,7.756352959209782
53,4,0.406952030085167,7.549824878337734
53,5,0.40489182787875,7.743532790512148
53,6,0.397185067444177,7.832281356218803
53,7,0.393712659140292,7.75435681028396
54,1,0.376969179782297,6.911603490428352
54,2,0.369799028812195,7.013023397586399
54,3,0.370959912333824,6.982529025250304
54,4,0.36955828666313,6.917303733814916
54,5,0.377763591367705,7.094347899375711
54,6,0.37283975358724,7.097497850087892
54,7,0.372068331578582,7.169801519293852
55,1,0.372705288591268,5.578835152641593
55,2,0.359026934463091,5.732219899549251
55,3,0.369975304694418,5.571889768989263
55,4,0.363979170601004,5.656831079033235
55,5,0.359272594002146,5.493011666888062
55,6,0.365831576302369,5.41714724702053
55,7,0.361816342230927,5.508932712731674
56,1,0.395916289372865,6.78355247474313
56,2,0.401411767281516,6.768297563495269
56,3,0.403049858089374,6.652104235894767
56,4,0.393502951105596,6.83911007676962
56,5,0.393499597485449,6.675343404870274
56,6,0.392827222000071,6.894650289524923
56,7,0.39886916236144,6.675192880679822
57,1,0.360896960049205,6.124120264222828
57,2,0.352484624820212,6.20947054399216
57,3,0.352444688437445,6.440653073489091
57,4,0.349360363248313,6.364125193232012
57,5,0.3568402831696,6.1531542074473
57,6,0.356452399426789,6.15704676643576
57,7,0.358247397822433,6.310906347753692
58,1,0.389373978039121,7.769309986993821
58,2,0.392714637654072,7.694331899566334
58,3,0.396973491087838,7.790475557749898
58,4,0.405283249638916,7.683733842881596
58,5,0.392720290491573,7.980712074445082
58,6,0.405903415887173,7.659979012690768
58,7,0.394530861241808,7.672822645642888
59,1,0.371682403107858,6.29616670927178
59,2,0.363518575938336,6.304402018642655
59,3,0.363139813026106,6.109472119734654
59,4,0.366045088502913,6.194368982754354
59,5,0.375533250683899,6.058630834089458
59,6,0.364708064789475,6.273340885551573
59,7,0.379406514430279,6.246695036062619
60,1,0.398159300889465,8.04602956362292
60,2,0.404819486110911,7.7399903867489
60,3,0.400962358236237,7.921914805838063
60,4,0.403776432739265,8.093982643016968
60,5,0.395022628297164,7.714561149038133
60,6,0.401139599024996,7.761976302179073
60,7,0.405606537117654,7.835687193142403
61,1,0.372961180221114,7.191301198568925
61,2,0.373139232510807,7.260307742074132
61,3,0.378892901467587,7.368949368987576
61,4,0.367850843271269,7.23123420752423
61,5,0.367516971953542,7.394797384129365
61,6,0.373225189173912,7.354347202892149
61,7,0.367121006176482,7.281910407018175
62,1,0.374381407839543,6.866035793791053
